,برچسب فولدر,words,Finglish,phonetic,phonetic-separated
0,1,سلام,salam,salɑm,s-a-l-ɑ-m
1,2,شاید,shayad,ʃɑjad,ʃ-ɑ-j-a-d
2,3,را,ra,rɑ,r-ɑ
3,4,بد,bad,bad,b-a-d
4,5,بزرگ,bozorg,bozorɡ,b-o-z-o-r-ɡ
5,6,چند,chand,tʃand,tʃ-a-n-d
6,7,چون,chon,tʃon,tʃ-o-n
7,8,حرف,harf,harf,h-a-r-f
8,9,خود,khod,xod,x-o-d
9,10,دیگر,digar,diɡar,d-i-ɡ-a-r
10,11,شبیه,shabih,ʃabih,ʃ-a-b-i-h
11,12,همین,hamin,hamin,h-a-m-i-n
12,13,گذشتن,gozahtan,ɡozaʃtan,ɡ-o-z-a-ʃ-t-a-n
13,14,فردا,farda,fardɑ,f-a-r-d-ɑ
14,15,فعلاً,felan,feʔlan,f-e-ʔ-l-a-n
15,16,کم,kam,kam,k-a-m
16,17,کمتر,kamtar,kamtar,k-a-m-t-a-r
17,18,گرفت,gereft,ɡereft,ɡ-e-r-e-f-t
18,19,لطفا,lotfan,lotfan,l-o-t-f-a-n
19,20,احتمال,ehtemal,ehtemɑl,e-h-t-e-m-ɑ-l
20,21,با,bad,bɑ,b-ɑ
21,22,اگر,agar,aɡar,a-ɡ-a-r
22,23,نیست,nist,nist,n-i-s-t
23,24,هم,ham ,ham,h-a-m
24,25,همه,hame,hameː,h-a-m-eː
25,26,ضد,zed,zedde,z-e-d-d-e
26,27,آخر,akhar,ɑxar,ɑ-x-a-r
27,28,خداحافظ,khodahafez,xodɑhɑfez,x-o-d-ɑ-h-ɑ-f-e-z
28,29,دوباره,dobareh,dobɑreː,d-o-b-ɑ-r-eː
29,30,دیدن,didan,didan,d-i-d-a-n
30,31,رسماً,rasman,rasman,r-a-s-m-a-n
31,32,رسید,resid,resid,r-e-s-i-d
32,33,کدام,kodam,kodɑm,k-o-d-ɑ-m
33,34,آن,an,ɑn,ɑ-n
34,35,اکنون,aknon,aːknuːn,aː-k-n-uː-n
35,36,نام ,nam,nɑm,n-ɑ-m
36,37,سپس,sepas,sepas,s-e-p-a-s
37,38,حال,hal,hɑl,h-ɑ-l
38,39,صرفاً,serfan,serfan,s-e-r-f-a-n
39,40,هرگز,hargez,harɡez,h-a-r-ɡ-e-z
40,41,رسیدن,residan,residan,r-e-s-i-d-a-n
41,42,مانند,manand,mɑnand,m-ɑ-n-a-n-d
