,id,Words,CER
0,3504,متقابل,0
1,3178,مین,0
2,1282,ماند,0
3,2119,می باشی,0
4,3363,خام,0
5,2777,رام,0
6,2108,بوده,0
7,2821,زنگ,0
8,3438,شام,0
9,1741,می خریدی,0.006
10,3641,دینامیت,0.008
11,2096,می بود,0.009
12,3317,بیدار,0.01
13,3711,سیستم,0.011
14,3673,زنجیر,0.011
15,3539,آمار,0.013
16,2825,زیره,0.014
17,2101,بودی,0.014
18,816,شیر,0.017
19,2094,می بودم,0.018
20,2034,می بخشند,0.019
21,2984,فامیل,0.02
22,2866,سیستم,0.02
23,2985,فانوس,0.02
24,1856,می خواهند,0.02
25,2121,می باشیم,0.021
26,1009,زهر,0.022
27,2818,زمینه,0.022
28,441,نور,0.022
29,276,بارانی,0.022
30,3316,بهشت,0.025
31,869,نارگیل,0.025
32,1853,می خواهد,0.025
33,3519,نو,0.025
34,3589,توربین,0.028
35,2639,بخار,0.028
36,2099,می بودند,0.028
37,2712,حسین,0.028
38,3607,چونه,0.028
39,2095,می بودی,0.029
40,2005,می بازند,0.031
41,1086,انجام داده بودند,0.031
42,2143,می بینی,0.032
43,3437,شاد,0.033
44,3362,خاک,0.033
45,956,سوسیس,0.033
46,2104,بودید,0.033
47,2724,خلاصه,0.033
48,150,گوش,0.033
49,126,بهترین,0.033
50,2128,دیدید,0.033
51,2817,زمانه,0.033
52,560,شکر,0.033
53,1092,دیده شده بودن,0.034
54,2097,می بودیم,0.035
55,2098,می بودید,0.035
56,2133,می دیدیم,0.035
57,1252,گفتی,0.036
58,1742,می خرید,0.036
59,1242,می گردیم,0.036
60,970,بسکتبال,0.037
61,2621,اقتدار,0.037
62,2809,ریز,0.037
63,2126,دید,0.037
64,2888,شریف,0.038
65,3447,شوخی,0.038
66,632,دانشمند,0.038
67,173,بخشیدن,0.039
68,1318,می مردید,0.039
69,2131,می دیدی,0.04
70,132,دوست داشتن,0.04
71,1396,شنیدی,0.04
72,3308,بازار,0.04
73,3307,بارون,0.04
74,3318,بیمار,0.04
75,167,نابود,0.04
76,2113,باشی,0.042
77,3570,بانو,0.042
78,3707,سوپ,0.042
79,2667,تاجر,0.042
80,2145,می بینیم,0.042
81,2134,می دیدید,0.042
82,2627,انداخته بودند,0.043
83,1255,گفتید,0.043
84,2008,می بخشید,0.044
85,2038,می بردیم,0.044
86,1744,می خریدید,0.044
87,1743,می خریدیم,0.044
88,1244,می گردند,0.045
89,2009,می بخشیدیم,0.045
90,1831,می خواستید,0.045
91,626,پیچ,0.046
92,976,جزیره,0.047
93,2123,می باشند,0.049
94,2122,می باشید,0.049
95,2760,دیفرانسیل,0.049
96,3219,نوشته بودند,0.05
97,2000,می بازم,0.05
98,2003,می بازیم,0.05
99,3435,سیب,0.05
100,1798,می خوابیدم,0.05
101,2989,فردوس,0.05
102,3394,دوست,0.05
103,4017,ویروس,0.05
104,2,شاید,0.05
105,1826,می خوابند,0.05
106,3092,لیسانس,0.05
107,1847,بخواهد,0.05
108,339,پرستار,0.05
109,1005,سلطان,0.053
110,3064,گفته بودند,0.055
111,3390,دندان پزشک,0.055
112,2116,باشید,0.056
113,2773,راز,0.056
114,2135,می دیدند,0.056
115,2598,آسان,0.056
116,2127,دیدیم,0.056
117,2007,می بخشیدی,0.056
118,1333,بمیر,0.056
119,2269,بزنیم,0.056
120,1197,گرفتید,0.056
121,3550,استخراج,0.056
122,2756,دود,0.056
123,1212,می گیری,0.056
124,2125,دیدی,0.056
125,2716,خال,0.056
126,2820,زنبور,0.056
127,409,ویتامین,0.057
128,2063,می برند,0.057
129,2020,بخشیده,0.058
130,3532,آبادان,0.058
131,3143,مورچه,0.06
132,1684,می ترسیدیم,0.06
133,3010,قانون,0.06
134,1434,می فهمیدیم,0.06
135,3196,نشانه,0.06
136,2006,می بخشیدم,0.061
137,3090,لوله,0.062
138,1397,شنید,0.062
